1185,14185,174185,1074185,13074185,163,1963,12963
152963,1852963,11852963,141,1741,10741,130741,1630741
19630741,129,1529,18529,118529,1418529,17418529,107
1307,16307,196307,1296307,15296307,2963,22963,252963
2852963,21852963,241,2741,20741,230741,2630741,29630741
229,2529,28529,218529,2418529,27418529,3185,34185
374185,3074185,33074185,363,3963,32963,352963,3852963
31852963,341,48529,418529,4418529,47418529,407,4307
46307,496307,4296307,45296307,5963,52963,552963,5852963
51852963,541,5741,50741,6418529,67418529,607,6307
66307,696307,6296307,763,7963,72963,752963,7852963
71852963,8529,88529,818529,8418529,985,9185,94185
